Store Id,Grocery,Grocery Trunk,Fresh,Fresh Trunk,Frozen,Frozen Trunk
4626,#N/A,#N/A,30053,30053,37197,30053
4642,#N/A,#N/A,30103,30103,37197,30103
4877,#N/A,#N/A,30103,30103,37197,30103
4890,#N/A,#N/A,30102,30102,#N/A,#N/A
4891,#N/A,#N/A,30053,30053,#N/A,#N/A
4893,#N/A,#N/A,30103,30103,37197,30103
4933,#N/A,#N/A,30053,30053,#N/A,#N/A
4936,#N/A,#N/A,30102,30102,#N/A,#N/A
4937,#N/A,#N/A,30103,30103,#N/A,#N/A
4940,#N/A,#N/A,30102,30102,#N/A,#N/A
4943,#N/A,#N/A,30053,30053,#N/A,#N/A
4949,#N/A,#N/A,30102,30102,#N/A,#N/A
4950,#N/A,#N/A,30102,30102,#N/A,#N/A
4954,#N/A,#N/A,30102,30102,#N/A,#N/A
5000,#N/A,#N/A,30102,30102,#N/A,#N/A
5002,#N/A,#N/A,30103,30103,37197,30103
5007,#N/A,#N/A,30103,30103,37197,30103
5008,#N/A,#N/A,30103,30103,37197,30103
5009,#N/A,#N/A,30052,30052,37197,30052
5012,#N/A,#N/A,30053,30053,#N/A,#N/A
5014,#N/A,#N/A,30102,30102,#N/A,#N/A
5015,#N/A,#N/A,30102,30102,#N/A,#N/A
5017,#N/A,#N/A,30103,30103,37197,30103
5020,#N/A,#N/A,30053,30053,#N/A,#N/A
5025,#N/A,#N/A,30103,30103,37197,30103
5026,#N/A,#N/A,30053,30053,37197,30053
5027,#N/A,#N/A,30103,30103,37197,30103
5028,34517,30103,30103,30103,37197,30103
5033,#N/A,#N/A,30102,30102,#N/A,#N/A
5034,#N/A,#N/A,30103,30103,37197,30103
5035,#N/A,#N/A,30103,30103,37197,30103
5036,#N/A,#N/A,30102,30102,#N/A,#N/A
5044,#N/A,#N/A,30103,30103,37197,30103
5045,#N/A,#N/A,30053,30053,#N/A,#N/A
5047,#N/A,#N/A,30052,30052,37197,30052
5049,#N/A,#N/A,30102,30102,#N/A,#N/A
5050,34517,30103,30103,30103,37197,30103
5051,#N/A,#N/A,30053,30053,#N/A,#N/A
5054,#N/A,#N/A,30053,30053,#N/A,#N/A
5055,#N/A,#N/A,30103,30103,37197,30103
5056,34512,30102,30102,30102,#N/A,#N/A
5058,#N/A,#N/A,30103,30103,37197,30103
5062,#N/A,#N/A,30103,30103,37197,30103
5063,#N/A,#N/A,34515,34515,37197,34515
5064,#N/A,#N/A,30102,30102,#N/A,#N/A
5067,#N/A,#N/A,30102,30102,#N/A,#N/A
5072,#N/A,#N/A,30103,30103,37197,30103
5073,#N/A,#N/A,30103,30103,37197,30103
5074,34512,30102,30102,30102,#N/A,#N/A
5075,#N/A,#N/A,30103,30103,37197,30103
5076,#N/A,#N/A,30053,30053,#N/A,#N/A
5088,#N/A,#N/A,30053,30053,#N/A,#N/A
5089,#N/A,#N/A,30103,30103,37197,30103
5090,34517,30053,30053,30053,#N/A,#N/A
5092,#N/A,#N/A,30102,30102,#N/A,#N/A
5098,#N/A,#N/A,30102,30102,#N/A,#N/A
5099,#N/A,#N/A,30102,30102,#N/A,#N/A
5114,#N/A,#N/A,30102,30102,#N/A,#N/A
5129,#N/A,#N/A,30103,30103,37197,30103
5135,#N/A,#N/A,30053,30053,37197,30053
5141,#N/A,#N/A,30103,30103,37197,30103
5142,#N/A,#N/A,30102,30102,#N/A,#N/A
