Location Id,Depot Id,Product Code,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Bank Holiday
4799,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
4797,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
4497,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
4831,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
4831,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
4840,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
4843,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
4846,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53068,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53068,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53010,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
53010,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
53027,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
53027,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
4838,30102,8,07:30,07:30,07:30,07:30,07:30,07:30,07:30,07:30
4838,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
4780,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
4780,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2259,30052,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
2259,30052,8,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
2934,30052,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2934,30052,8,08:00,08:00,08:00,08:00,08:00,08:00,08:00,08:00
3295,30052,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
3295,30052,8,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
3300,30052,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
3300,30052,8,11:00,11:00,11:00,11:00,11:00,11:00,11:00,11:00
4564,30052,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
4564,30052,8,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
6156,30052,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
6156,30052,8,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
6443,30052,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
6443,30052,8,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
6686,30052,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
6686,30052,8,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
53099,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
53099,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
53093,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
53093,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
4888,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
4888,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53025,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
