Fixed Trip Id,Start Location,End Location,Drop Location,Target,Sequence,Arrival Time,Visit Type,Vehicle Type,Day of the Week,Day of the Leg,Schedule with Wave,Driver,Product Code,Volume,Flexible Start,Flexible End
72,30102,30102,1931004,,3,22:00-23:00,Delivery,13m,Wednesday,Wednesday,2,,7,45,No,No
73,30102,30102,1930001,,1,19:30-19:59,Collection,13m,Wednesday,Wednesday,2,,7,45,No,No
73,30102,30102,37197,,2,21:30-22:30,Delivery,13m,Wednesday,Wednesday,2,,7,45,No,No
74,30102,30102,38508,,1,11:30-12:30,Collection,13m,Thursday,Thursday,2,,6,45,No,No
74,30102,30102,7892100,,2,13:59-14:00,Delivery,13m,Thursday,Thursday,2,,6,45,No,No
75,30102,30102,1910827,,1,10:59-11:00,Collection,13m,Thursday,Thursday,2,,7,45,No,No
75,30102,30102,37197,,2,13:00-14:00,Delivery,13m,Thursday,Thursday,2,,7,45,No,No
75,30102,30102,8880030,,3,14:00-15:00,Collection,13m,Thursday,Thursday,2,,7,45,No,No
76,30102,30102,1910827,,1,11:00-11:29,Collection,13m,Thursday,Thursday,2,,7,45,No,No
76,30102,30102,37197,,2,13:30-14:30,Delivery,13m,Thursday,Thursday,2,,7,45,No,No
76,30102,30102,8880030,,3,14:30-15:30,Collection,13m,Thursday,Thursday,2,,7,45,No,No
77,30102,30102,1930001,,1,17:30-17:59,Collection,13m,Thursday,Thursday,2,,7,45,No,No
77,30102,30102,37197,,2,19:30-20:30,Delivery,13m,Thursday,Thursday,2,,7,45,No,No
78,30102,30102,1930001,,1,19:30-19:59,Collection,13m,Thursday,Thursday,2,,7,45,No,No
78,30102,30102,37197,,2,21:30-22:30,Delivery,13m,Thursday,Thursday,2,,7,45,No,No
79,30102,30102,38508,,1,11:30-12:30,Collection,13m,Friday,Friday,2,,6,45,No,No
79,30102,30102,7892100,,2,13:59-14:00,Delivery,13m,Friday,Friday,2,,6,45,No,No
80,30102,30102,1910827,,1,10:59-11:00,Collection,13m,Friday,Friday,2,,7,45,No,No
80,30102,30102,37197,,2,13:00-14:00,Delivery,13m,Friday,Friday,2,,7,45,No,No
80,30102,30102,8880030,,3,14:00-15:00,Collection,13m,Friday,Friday,2,,7,45,No,No
81,30102,30102,1910827,,1,11:00-11:29,Collection,13m,Friday,Friday,2,,7,45,No,No
81,30102,30102,37197,,2,13:30-14:30,Delivery,13m,Friday,Friday,2,,7,45,No,No
81,30102,30102,8880030,,3,14:30-15:30,Collection,13m,Friday,Friday,2,,7,45,No,No
82,30102,30102,1930001,,1,17:30-17:59,Collection,13m,Friday,Friday,2,,7,45,No,No
82,30102,30102,37197,,2,19:30-20:30,Delivery,13m,Friday,Friday,2,,7,45,No,No
82,30102,30102,1931004,,3,22:00-23:00,Collection,13m,Friday,Friday,2,,7,45,No,No
83,30102,30102,1930001,,1,19:30-19:59,Collection,13m,Friday,Friday,2,,7,45,No,No
83,30102,30102,37197,,2,21:30-22:30,Delivery,13m,Friday,Friday,2,,7,45,No,No
84,30102,30102,38508,,1,12:00-13:00,Collection,13m,Saturday,Saturday,2,,6,45,No,No
84,30102,30102,7892100,,2,13:59-14:00,Delivery,13m,Saturday,Saturday,2,,6,45,No,No
85,30102,30102,1930001,,1,17:30-17:59,Collection,13m,Saturday,Saturday,2,,7,45,No,No
85,30102,30102,37197,,2,19:30-20:30,Delivery,13m,Saturday,Saturday,2,,7,45,No,No
86,30102,30102,1930001,,1,19:30-19:59,Collection,13m,Saturday,Saturday,2,,7,45,No,No
86,30102,30102,37197,,2,21:30-22:30,Delivery,13m,Saturday,Saturday,2,,7,45,No,No
87,30102,30102,1930001,,1,17:30-17:59,Collection,13m,Sunday,Sunday,2,,7,45,No,No
87,30102,30102,37197,,2,19:30-20:30,Delivery,13m,Sunday,Sunday,2,,7,45,No,No
88,30102,30102,1930001,,1,19:30-19:59,Collection,13m,Sunday,Sunday,2,,7,45,No,No
88,30102,30102,37197,,2,21:30-22:30,Delivery,13m,Sunday,Sunday,2,,7,45,No,No
90,38111,38111,34002,,1,16:59-17:00,Delivery,dd,Monday,Monday,2,,10,65,No,No
91,38111,38111,34002,,1,16:59-17:00,Delivery,dd,Monday,Monday,2,,10,65,No,No
92,38111,38111,34002,,1,19:59-20:00,Delivery,dd,Monday,Monday,2,,10,65,No,No
93,38111,38111,34002,,1,20:59-21:00,Delivery,dd,Monday,Monday,2,,10,65,No,No
94,38111,38111,34515,,1,21:29-21:30,Delivery,dd,Monday,Monday,2,,1,72,No,No
95,38111,38111,34515,,1,20:29-20:30,Delivery,dd,Monday,Monday,2,,1,72,No,No
96,38111,38111,34515,,1,18:59-19:00,Delivery,dd,Monday,Monday,2,,1,72,No,No
