Location Id,Product Code,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Bank Holiday
2812,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2813,1,05:00,05:00,05:00,05:00,05:00,05:00,08:30,08:30
2817,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2817,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2819,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2820,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2822,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2822,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2825,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2825,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2833,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2833,8,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2843,1,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
2843,8,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
2844,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2845,1,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
2845,8,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
2846,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2847,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2847,8,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2849,1,05:30,05:30,05:30,05:30,05:30,05:30,05:30,05:30
2850,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2853,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2853,8,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2869,1,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
2869,8,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
2878,1,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
2880,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2880,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2900,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2919,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2919,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2924,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2924,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2927,1,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
2927,8,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
2933,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2934,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2934,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2949,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2950,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2959,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2960,1,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00
2964,1,06:00,06:00,06:00,06:00,06:00,06:00,07:30,07:30
2966,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2966,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2972,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2972,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2974,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2975,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2975,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2990,1,08:00,08:00,08:00,08:00,08:00,08:00,08:00,08:00
2990,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2994,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2994,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2996,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2997,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
3015,1,06:00,06:00,06:00,06:00,06:00,06:00,08:00,08:00
3015,8,06:00,06:00,06:00,06:00,06:00,06:00,08:00,08:00
